type,2016,2017,2018,2019,2020,2021,2022,harga_rata_rata,nama_rumah,tipe_rumah,Lokasi,kt,km,grs,lt,lb
Rumah,525000000,588000000,677000000,744000000,782000000,821000000,862000000,714142857.142857,Adem Banget Hunian Rasa Villa Dengan View Gunung Salak  ,siap huni,Cijeruk   ,2,1,1,96,42
Rumah,799000000,895000000,1030000000,1133000000,1189000000,1249000000,1311000000,1086571428.57143,Akses Jalan 2 Mobil Rumah di Bpn Tonjong 2 Km Jl. Raya Parung,siap huni,Tajur Halang   ,3,1,0,120,80
Apartemen,570000000,639000000,735000000,808000000,848000000,891000000,935000000,775142857.142857,Apartemen 2 BR di Podomoro Golf View  ,siap huni,Gunung Putri   ,2,1,0,35,36
Apartemen,253000000,284000000,326000000,359000000,377000000,396000000,415000000,344285714.285714,Apartemen Cordova Edupartment Baru Dekat Kampus IPB,siap huni,Dramaga   ,1,1,0,16,18
Apartemen,350000000,392000000,451000000,496000000,521000000,547000000,575000000,476000000,Apartemen Furnish Di Sentul City   ,siap huni,Sentul City   ,1,1,0,38,
Apartemen,350000000,392000000,451000000,496000000,521000000,547000000,575000000,476000000,Apartemen Furnish Lantai 10 Di Sentul City   ,siap huni,Sentul City   ,1,1,0,38,
Apartemen,350000000,392000000,451000000,496000000,521000000,547000000,575000000,476000000,Apartemen Furnish Lantai 17 Di Sentul City   ,siap huni,Sentul City   ,1,1,0,23,
Apartemen,750000000,840000000,966000000,1063000000,1116000000,1172000000,1231000000,1019714285.71429,Apartemen Icon Tipe 1 Br Ukuran 37 M2 Furnished Nego,siap huni,  Barat   ,1,1,0,37,38
Apartemen,250000000,280000000,322000000,355000000,372000000,391000000,411000000,340142857.142857,Apartemen Mansion Tipe 2 Br Ukuran 37 M2 Furnished Nego,siap huni,  Barat   ,2,1,0,37,37
Apartemen,365000000,409000000,471000000,518000000,543000000,571000000,599000000,496571428.571429,Apartemen podomoro golf view,siap huni,Gunung Putri   ,1,1,0,21,
Apartemen,550000000,616000000,709000000,780000000,819000000,860000000,903000000,748142857.142857,Apartemen Sentul Tower Sentul Tipe Studio  Semi Furnished,siap huni,Sentul City   ,1,1,0,18,17
Apartemen,350000000,392000000,451000000,496000000,521000000,547000000,575000000,476000000,Apartement 1 BR Furnished Bagus View Bukit Di Sentul City   ,siap huni,Sentul City   ,1,1,0,23,22
Apartemen,315000000,353000000,406000000,447000000,469000000,493000000,517000000,428571428.571429,Apartement 1 BR View Kolam Renang Plus Bukit Di Sentul City  ,siap huni,Sentul City   ,1,1,0,20,19
Apartemen,290000000,325000000,374000000,411000000,432000000,453000000,476000000,394428571.428571,Apartement Lantai 12 Best View Di Sentul City   ,siap huni,Sentul City   ,1,1,0,20,
Apartemen,825000000,924000000,1063000000,1169000000,1228000000,1289000000,1354000000,1121714285.71429,Apartement sentul tower apartement (STA) 2 BR Furnished,siap huni,Sentul   ,2,1,0,44,43
Rumah,1700000000,1904000000,2190000000,2409000000,2529000000,2656000000,2789000000,2311000000,Area Di Dalam Acropolis  Dijual Rumah Akses Jalan 8 Meter,siap huni,Cibinong   ,3,4,0,144,300
Rumah,1700000000,1904000000,2190000000,2409000000,2529000000,2656000000,2789000000,2311000000,Area Di Dalam Acropolis  Jual Rumah Legalitas SHM,siap huni,Cibinong   ,3,4,0,144,300
Rumah,1460000000,1636000000,1881000000,2069000000,2172000000,2281000000,2395000000,1984857142.85714,ATTALEYA 1 CITRALAND CIBUBUR,siap huni,Cileungsi   ,3,2,0,136,104
Rumah,1200000000,1344000000,1546000000,1701000000,1786000000,1875000000,1969000000,1631571428.57143,ATTALEYA 2 CITRALAND CIBUBUR,siap huni,Cileungsi   ,3,2,0,119,89
Rumah,1000000000,1120000000,1288000000,1417000000,1488000000,1563000000,1641000000,1359571428.57143,ATTALEYA 3 CITRALAND CIBUBUR,siap huni,Cileungsi   ,3,2,0,90,82
Rumah,450000000,504000000,580000000,638000000,670000000,703000000,739000000,612000000,BELI RUMAH SECOND DAPAT MOBIL,siap huni,Kemang   ,3,2,0,78,150
Rumah,600000000,672000000,773000000,851000000,893000000,938000000,985000000,816000000,Beli Rumah Untung 50 Juta di Felicity Madani,siap huni,Parung   ,2,1,1,82,39
Rumah,11600000000,12992000000,14941000000,16435000000,17257000000,18120000000,19026000000,15767285714.2857,Beli Tanah Bonus Rumah Siap Huni  di BGH Raya  Sentul City,siap huni,Sentul City   ,4,5,2,1660,550
Rumah,565000000,633000000,728000000,801000000,841000000,883000000,927000000,768285714.285714,Berkualitas Tinggi  Harga Terjangkau di Rumah Baru Ini,siap huni,Cileungsi   ,2,1,1,90,35
Rumah,485000000,544000000,625000000,688000000,722000000,758000000,796000000,659714285.714286,Cari Rumah Sejuk Dengan Lokasi Strategis Ini Solusinya cari Rumah Sejuk Dengan Lokasi Strategis Ini Solusinya,siap huni,Bojong Gede   ,2,1,0,81,36
Rumah,970000000,1087000000,1250000000,1375000000,1444000000,1516000000,1591000000,1319000000,CARYOTA 2C CITRALAND CIBUBUR,siap huni,Cileungsi   ,2,1,0,112,56
Rumah,3900000000,4368000000,5024000000,5526000000,5802000000,6092000000,6397000000,5301285714.28571,CEPAT MURAH RUMAH TAMAN KENARI NUSANTARA CIBUBUR,siap huni,Cibubur   ,4,2,0,957,445
Rumah,4300000000,4816000000,5539000000,6093000000,6397000000,6717000000,7053000000,5845000000,Cepat Rumah 2 Lantai  di Coatesville Boulevard Kota Wisata Cibubur  Akses Pintu Tol di Dalam Area Komplek,siap huni,Cibubur   ,4,3,1,330,282
